The data shown here is provided by Statistics Canada from the 2016 Census as a custom data order for the City of Vancouver using the City's 22 local planning areas,,,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2016, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2016,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
167,  Single-detached house,2310,15,4715,70,1275,4020,3115,2800,1750,1380,2180,390,1905,3560,2220,1895,875,320,1935,2645,30,2175,41325,282355
168,  Apartment in a building that has five or more storeys,1440,32910,0,6520,690,190,625,610,780,1585,990,5505,955,3230,230,70,220,2240,0,0,24035,430,83250,160060
169,  Other attached dwelling,2320,2120,2850,12945,13005,8565,14135,2120,8125,19900,7700,12095,2110,12080,6385,970,2040,3300,9770,7500,6805,2780,159310,513900
170,    Semi-detached house,45,5,10,115,535,75,495,15,50,1270,580,510,30,85,165,10,65,115,185,55,10,55,4480,20530
171,    Row house,270,890,90,890,310,420,460,45,3240,510,370,375,350,275,190,110,105,285,145,390,135,65,9845,93415
172,    Apartment or flat in a duplex,705,10,2045,50,2370,5620,8325,555,2580,2785,1270,1095,585,7615,3435,315,715,370,6630,4455,45,1395,52970,156440
173,    Apartment in a building that has fewer than five storeys,1300,1210,700,11855,9745,2430,4740,1490,2250,15290,5445,10095,1145,4010,2580,540,1150,2510,2690,2580,6595,1260,91380,242200
174,    Other single-attached house,5,5,5,25,45,20,115,10,5,45,40,20,0,95,15,0,5,10,120,20,20,0,635,1305
175,  Movable dwelling,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,25,4580
,,,,,,,,,,,,,,,,,,,,,,,,,
176,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15140,60235,21335,33000,29020,34180,48970,13955,28925,42815,24075,32450,12930,51230,22370,8210,7675,11125,36350,30325,46915,13065,622630,2440145
177,  English only,12385,51635,17460,27700,23810,27755,39925,11590,24760,35045,20745,27350,10840,42765,18495,6740,6355,8195,31455,24450,39765,10475,518180,2130570
178,  French only,0,55,10,25,20,15,30,5,10,35,15,25,10,25,10,0,0,15,15,5,45,0,375,1115
179,  English and French,1475,6695,2840,4880,3955,2200,3760,1320,1530,7300,1580,4470,750,2030,2770,860,1035,1110,1625,1080,6535,2050,61710,172145
180,  Neither English nor French,1285,1850,1030,405,1230,4210,5250,1045,2625,435,1730,605,1335,6410,1095,605,285,1805,3255,4795,570,540,42365,136320
181,  Total - Knowledge of official languages for males excluding institutional residents - 100% data,6870,31865,10325,14895,14185,16690,23865,6490,13770,20025,11715,15840,5975,24985,10700,3860,3630,6170,17840,14580,24565,6215,304235,1191675
182,    English only,5695,27685,8660,12680,11945,14015,20000,5495,12015,16775,10235,13575,5110,21455,9070,3225,3090,4845,15830,12105,20950,5080,258800,1058310
183,    French only,0,30,5,10,10,5,15,5,5,15,10,10,5,20,0,0,0,10,10,0,15,0,180,530
184,    English and French,620,3415,1190,2045,1755,970,1655,530,645,3065,750,2020,310,925,1215,340,425,630,765,520,3370,885,27980,76645
185,    Neither English nor French,560,735,470,155,475,1695,2190,460,1095,170,725,235,555,2590,415,295,115,685,1230,1955,230,245,17280,56185
186,  Total - Knowledge of official languages for females excluding institutional residents - 100% data,8265,28370,11010,18110,14840,17490,25100,7465,15155,22790,12355,16605,6955,26240,11665,4350,4045,4955,18510,15745,22355,6850,318400,1248470
187,    English only,6690,23950,8800,15015,11865,13740,19925,6095,12740,18270,10510,13770,5730,21305,9425,3515,3265,3350,15620,12345,18815,5395,259380,1072260
188,    French only,0,25,5,15,10,5,15,0,5,20,5,10,0,5,5,0,0,10,10,0,30,0,190,580
189,    English and French,855,3280,1650,2835,2200,1230,2105,790,885,4240,835,2450,440,1110,1555,520,610,480,860,560,3170,1165,33730,95500
190,    Neither English nor French,730,1115,555,250,760,2515,3060,585,1525,265,1005,370,780,3820,680,310,170,1115,2020,2835,335,290,25095,80135
,,,,,,,,,,,,,,,,,,,,,,,,,
191,Total - First official language spoken for the total population excluding institutional residents - 100% data,15135,60240,21335,33000,29025,34180,48970,13955,28925,42815,24070,32450,12930,51225,22370,8205,7675,11125,36345,30325,46920,13065,622630,2440140
192,  English,13565,56530,19925,31555,27100,29550,42905,12715,25915,40930,21925,30985,11410,44310,20875,7470,7225,9045,32740,25250,44430,12205,566945,2265310
193,  French,140,1345,240,830,590,315,635,130,250,1155,260,735,100,325,315,85,135,260,180,165,1525,235,9950,25710
194,  English and French,160,555,155,225,110,135,210,80,175,300,180,125,105,245,80,50,40,35,190,155,405,100,3805,14465
195,  Neither English nor French,1275,1805,1015,390,1220,4180,5215,1035,2585,425,1705,600,1315,6340,1095,595,280,1790,3235,4755,550,525,41935,134660
196,  Total - First official language spoken for males excluding institutional residents - 100% data,6870,31865,10325,14895,14185,16690,23865,6490,13770,20025,11715,15845,5975,24985,10705,3860,3625,6165,17840,14585,24565,6215,304235,1191675
197,    English,6185,30155,9685,14255,13370,14770,21280,5940,12490,19220,10765,15160,5335,22135,10085,3510,3435,5305,16425,12470,23315,5815,280310,1116840
198,    French,60,775,100,390,290,170,310,50,125,500,150,395,55,185,165,40,70,165,105,90,820,115,5125,12830
199,    English and French,75,215,70,105,55,70,100,40,70,140,90,60,40,105,40,20,15,15,80,80,205,45,1730,6635
200,    Neither English nor French,555,715,465,150,465,1680,2175,455,1085,165,715,225,545,2560,415,290,110,680,1230,1935,220,240,17065,55370
201,  Total - First official language spoken for females excluding institutional residents - 100% data,8270,28375,11005,18110,14840,17490,25100,7465,15155,22790,12360,16605,6955,26240,11665,4350,4045,4955,18510,15740,22350,6850,318400,1248470
202,    English,7380,26380,10235,17305,13735,14780,21630,6775,13430,21710,11165,15820,6070,22180,10795,3965,3785,3735,16315,12780,21115,6385,286635,1148470
203,    French,80,565,140,435,300,145,320,75,125,655,110,350,40,145,155,50,70,95,75,70,705,120,4825,12880
204,    English and French,85,340,80,120,55,70,110,40,105,165,90,65,65,140,40,30,20,20,110,70,200,55,2070,7830
205,    Neither English nor French,720,1095,550,245,755,2505,3040,575,1500,255,995,370,775,3780,675,305,170,1105,2010,2820,330,290,24865,79285
,,,,,,,,,,,,,,,,,,,,,,,,,
206,Total - Mother tongue for the total population excluding institutional residents - 100% data,15140,60235,21330,33000,29025,34180,48965,13955,28920,42815,24075,32450,12930,51230,22370,8210,7675,11125,36345,30325,46915,13065,622635,2440145
207,  Single responses,14790,58495,20945,32250,28320,33115,47000,13650,27815,41945,23145,31525,12540,48920,21745,7995,7465,10860,34400,29005,45715,12800,602805,2361890
208,    Official languages,6855,33995,13495,24175,21165,15490,22205,7030,11390,32865,9365,23395,4155,16460,14025,4335,4795,6770,10955,8375,30100,8530,328595,1341640
209,      English,6720,32715,13275,23400,20585,15175,21610,6900,11165,31750,9125,22675,4070,16160,13720,4255,4670,6500,10790,8220,28655,8305,319115,1316635
210,      French,135,1280,225,770,585,310,600,130,220,1115,240,720,85,300,305,80,125,270,160,155,1445,225,9480,25000
211,    Non-official languages,7935,24500,7450,8075,7155,17625,24790,6615,16430,9080,13780,8125,8385,32460,7720,3650,2670,4090,23445,20630,15610,4270,274210,1020250
212,      Aboriginal languages,0,100,40,10,90,20,10,0,5,10,5,45,0,10,5,0,0,95,10,10,20,5,455,855
213,        Algonquian languages,0,40,5,5,35,10,5,0,0,0,0,25,0,0,0,0,0,30,5,5,5,0,175,315
214,          Blackfoot,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,25
215,          Cree-Montagnais languages,0,25,0,5,25,10,5,0,0,0,0,15,0,5,0,0,0,25,5,0,5,0,125,225
216,            Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,            Montagnais (Innu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,            Moose Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,            Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,            Northern East Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,            Plains Cree,0,0,0,5,5,0,5,0,0,0,0,5,0,5,0,0,0,5,0,0,5,0,25,40
222,            Southern East Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,            Swampy Cree,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,15
224,            Woods Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
225,"            Cree, n.o.s.",0,25,0,5,20,5,5,0,0,5,0,10,0,5,0,0,0,20,5,0,0,0,95,150
226,          Eastern Algonquian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
227,            Malecite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,            Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
229,          Ojibway-Potawatomi languages,0,10,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,30,65
230,            Algonquin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,            Ojibway,0,10,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,30,60
232,            Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
233,            Ottawa (Odawa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"          Algonquian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,        Athabaskan languages,0,5,5,0,10,0,0,0,0,5,0,5,0,5,0,0,0,30,0,0,0,0,65,110
236,          Northern Athabaskan languages,0,5,0,0,10,0,0,0,0,5,0,5,0,0,0,0,0,30,0,0,0,0,60,100
237,            Babine (Wetsuwet'en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
238,            Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,            Carrier,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,25,35
240,            Chilcotin,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,0,20,25
241,            Dene,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
242,            Dogrib (Tlicho),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,            Gwich'in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10
244,            Sarsi (Sarcee),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
245,            Sekani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,            Slavey-Hare languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
247,              North Slavey (Hare),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,              South Slavey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,"              Slavey, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,            Tahltan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
251,              Kaska (Nahani),0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
252,              Tahltan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,            Tutchone languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,              Northern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,              Southern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"          Athabaskan languages, n.i.e.",0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,5
257,        Haida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,10
258,        Inuit languages,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
259,          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
260,          Inuktitut,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
261,"          Inuit languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
262,        Iroquoian languages,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
263,          Cayuga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,          Mohawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
265,          Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"          Iroquoian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,        Kutenai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
268,        Michif,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
269,        Salish languages,0,5,35,5,10,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,40,140
270,          Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,          Halkomelem,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
272,          Lillooet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
273,          Okanagan,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
274,          Shuswap (Secwepemctsin),0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
275,          Squamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
276,          Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,          Thompson (Ntlakapamux),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,15
278,"          Salish languages, n.i.e.",0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,40
279,        Siouan languages,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,25
280,          Dakota,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,20
281,          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,"          Siouan languages, n.i.e.",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
283,        Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,        Tsimshian languages,0,20,0,0,15,0,5,0,0,0,0,5,0,0,0,0,0,5,0,5,5,0,70,95
285,          Gitxsan (Gitksan),0,15,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,35,45
286,          Nisga'a,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30
287,          Tsimshian,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,20
288,        Wakashan languages,0,5,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,40,60
289,          Haisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10
290,          Heiltsuk,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,20
291,          Kwakiutl (Kwak'wala),0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,15
292,          Nuu-chah-nulth (Nootka),0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
293,"          Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,"        Aboriginal languages, n.o.s.",0,5,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,5,0,30,70
295,      Non-Aboriginal languages,7930,24400,7410,8070,7065,17605,24780,6615,16425,9070,13770,8085,8385,32450,7720,3655,2670,3995,23435,20620,15590,4270,273755,1019395
296,        Afro-Asiatic languages,105,930,95,255,135,115,165,60,155,215,225,200,90,280,135,60,80,85,250,85,520,60,4305,20725
297,          Berber languages,0,0,0,0,0,0,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,25,95
298,            Kabyle,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30
299,"            Berber languages, n.i.e.",0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,60
300,          Cushitic languages,0,35,5,0,20,20,5,0,5,5,10,15,0,25,0,0,0,15,35,5,10,0,205,1355
301,            Bilen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
302,            Oromo,0,15,0,0,5,0,0,0,0,5,5,0,0,5,0,0,0,10,20,0,0,0,75,170
303,            Somali,5,15,5,0,10,20,5,0,5,0,5,15,0,20,0,0,0,5,15,5,5,0,130,1170
304,"            Cushitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
305,          Semitic languages,100,900,85,255,115,90,160,55,150,215,215,185,95,245,130,55,80,65,215,80,510,60,4065,19230
306,            Amharic,0,30,0,20,10,5,25,5,45,5,15,15,0,30,5,0,0,15,30,10,30,5,305,1140
307,            Arabic,50,740,40,125,60,60,85,25,75,100,125,80,50,180,40,15,10,40,95,55,410,35,2485,14320
308,            Assyrian Neo-Aramaic,0,5,0,0,0,0,0,0,0,0,20,0,0,5,0,0,0,0,40,0,5,0,70,630
309,            Chaldean Neo-Aramaic,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,10,435
310,            Harari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25
311,            Hebrew,50,115,45,105,30,15,45,35,20,105,40,70,35,15,90,45,70,5,35,10,60,20,1050,1770
312,            Maltese,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,80
313,            Tigrigna,0,15,0,5,10,0,5,0,15,0,10,20,0,20,0,0,0,5,5,5,5,0,120,695
314,"            Semitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,130
315,"          Afro-Asiatic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,10,45
316,        Austro-Asiatic languages,15,260,25,60,410,1340,2325,30,670,65,140,430,80,2440,280,15,40,345,755,1070,120,10,10940,24195
317,          Khmer (Cambodian),0,5,0,10,15,15,60,0,10,5,5,25,0,60,5,0,5,15,25,50,5,0,295,1210
318,          Vietnamese,10,250,25,55,390,1325,2270,25,655,60,135,405,80,2375,280,20,40,330,730,1015,115,10,10615,22950
319,"          Austro-Asiatic languages, n.i.e",0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,25,35
320,        Austronesian languages,135,715,135,320,525,1085,3795,165,1675,260,1310,1185,255,4610,1020,145,110,75,4140,2125,615,80,24470,82025
321,          Bikol,0,0,0,0,5,0,10,0,15,0,5,5,0,15,5,0,5,0,20,5,0,0,100,310
322,          Cebuano,5,20,5,15,20,55,165,5,85,0,55,50,10,150,25,0,10,5,100,75,25,0,885,3210
323,          Fijian,0,0,0,0,0,0,5,0,10,0,0,0,0,5,0,0,0,0,5,10,0,0,45,390
324,          Hiligaynon,10,5,5,0,15,25,60,0,35,5,25,20,10,75,20,0,0,0,85,50,5,0,450,1275
325,          Ilocano,0,10,5,0,40,70,350,15,125,5,110,80,10,390,65,0,10,5,430,160,10,0,1895,4605
326,          Malagasy,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,10,15
327,          Malay,40,165,25,40,15,25,55,20,65,45,50,35,25,130,15,20,15,5,40,35,75,10,960,3480
328,"          Pampangan (Kapampangan, Pampango)",0,5,5,5,0,5,55,0,5,0,5,10,5,50,10,0,0,0,25,25,0,0,200,630
329,          Pangasinan,0,0,0,0,0,10,15,0,0,0,10,5,0,25,5,0,0,0,20,0,5,0,95,265
330,"          Tagalog (Pilipino, Filipino)",90,490,100,255,415,885,2975,120,1320,195,1035,965,195,3690,865,125,75,45,3340,1720,475,65,19430,66825
331,          Waray-Waray,0,0,0,0,0,0,10,0,5,0,5,0,0,10,0,0,0,0,10,0,0,0,50,180
332,"          Austronesian languages, n.i.e.",0,10,0,5,10,15,95,5,10,0,10,10,0,65,10,0,0,10,55,35,5,0,345,830
333,        Creole languages,0,5,0,10,5,5,10,0,0,5,5,5,0,10,0,0,0,5,20,0,10,0,100,610
334,          Haitian Creole,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25
335,"          Creole, n.o.s.",0,5,0,5,0,0,10,0,0,5,0,5,0,5,0,0,0,5,5,0,10,5,65,365
336,"          Creole languages, n.i.e.",0,0,0,0,5,5,5,0,0,0,0,5,5,0,0,0,5,0,15,0,0,5,35,220
337,        Dravidian languages,15,85,25,35,20,35,280,10,75,30,70,65,20,200,80,15,0,5,690,190,65,20,2020,6215
338,          Kannada,0,0,0,10,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,10,0,50,225
339,          Malayalam,0,20,0,10,0,5,10,5,15,0,10,10,0,30,10,0,0,0,120,65,10,10,335,1750
340,          Tamil,5,40,15,10,15,25,245,5,50,20,60,40,15,135,65,15,0,5,445,90,30,10,1330,3275
341,          Telugu,10,20,5,5,5,0,10,5,5,10,5,10,0,30,5,0,0,0,115,25,15,5,290,920
342,"          Dravidian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,15,45
343,        Hmong-Mien languages,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,130
344,        Indo-European languages,1195,11415,1470,3800,2715,3725,4745,930,3335,4945,2150,2795,1170,5640,1840,570,665,665,10370,3470,9350,1255,78130,416565
345,          Albanian,0,10,0,35,5,15,0,5,0,15,5,0,0,15,0,0,0,0,5,5,15,0,135,1090
346,          Armenian,25,35,20,25,10,15,20,0,5,20,40,5,5,10,20,5,0,5,10,5,45,15,340,1060
347,          Balto-Slavic languages,245,3010,275,1200,555,470,545,185,680,1135,590,770,255,725,330,80,150,135,235,230,2675,260,14740,57625
348,            Baltic languages,5,35,10,35,10,5,10,5,0,40,5,10,5,10,5,0,5,0,5,5,45,5,260,650
349,              Latvian,5,20,0,15,5,5,5,5,0,20,5,5,0,5,0,5,5,0,0,5,15,5,120,320
350,              Lithuanian,0,25,5,25,5,0,10,5,5,20,0,5,5,5,0,0,5,0,0,0,30,0,145,325
351,            Slavic languages,245,2975,270,1165,545,465,530,175,675,1100,585,760,250,715,330,75,145,140,230,225,2630,250,14475,56980
352,              Belarusan,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,15,60
353,              Bosnian,0,35,0,20,15,10,5,5,25,10,15,10,5,20,10,5,0,5,5,5,35,10,240,1155
354,              Bulgarian,5,130,0,40,10,10,15,5,10,45,30,40,10,10,5,0,5,5,0,10,90,5,460,1720
355,              Croatian,25,140,20,85,75,135,65,15,55,80,20,65,20,140,35,5,15,10,20,75,135,15,1255,5460
356,              Czech,15,110,20,85,45,40,45,15,15,85,35,65,5,35,30,5,5,10,20,15,260,30,995,3565
357,              Macedonian,5,25,5,15,5,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,15,0,80,250
358,              Polish,45,405,45,190,150,60,180,25,250,210,70,200,40,105,95,25,40,35,55,45,410,45,2720,12040
359,              Russian,70,1090,90,310,125,80,120,60,180,325,275,210,135,190,65,20,50,40,70,30,830,95,4445,18170
360,              Serbian,35,670,40,235,55,75,45,25,60,130,75,70,10,100,20,0,15,10,15,10,400,20,2125,6300
361,              Serbo-Croatian,5,125,10,45,15,10,5,5,20,40,20,15,0,30,10,0,5,5,0,15,110,5,485,1140
362,              Slovak,5,115,5,50,15,10,15,5,20,55,20,25,0,25,10,0,5,10,10,0,180,10,600,2395
363,              Slovene (Slovenian),5,10,5,10,5,5,10,0,0,5,0,15,5,10,10,0,0,0,10,5,15,5,145,545
364,              Ukrainian,25,120,25,95,25,25,30,20,30,85,25,40,20,50,40,5,5,5,20,10,150,15,870,3990
365,"              Slavic languages, n.i.e.",0,0,0,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,35,180
